"frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","chi2","uncertainty [nm]"
4.0,4856.636874679514,7055.81396947756,85.3732191801293,734.0671864457556,386.0207417734396,64.93444190751215,1797.940290954343,25.543590158859857
4.0,5285.611258474013,15437.055970324831,173.06308588182827,2324.253828463305,420.1554391742538,50.12970690787805,969.9672399807968,25.681536176199046
4.0,5954.145138184218,7182.5260710014845,178.80583479003005,3547.746480091315,371.4229575517059,40.77498374661572,680.2539026693926,14.942859236857721
4.0,5820.713413691114,11770.802636013237,171.98669324769017,2165.7028116027072,302.69253545615595,27.203605027444905,385.2074234190435,15.408485384115224
4.0,5879.626825093712,13262.23031429813,136.0133843131484,1226.4268649647665,361.0869986507631,37.66820662342157,624.4800617072829,22.828891452869527
4.0,6592.377770131194,16300.377812564573,159.39213869163058,1875.0876160967516,397.8212407330276,43.84508477821227,751.6818306177906,23.734396819027715
4.0,6788.7816173631,7713.984018636079,198.80224887878558,2240.6011537943427,319.277339333733,30.413841000687686,435.0982961504422,21.73919366584774
4.0,7141.128045444525,3623.1088763495836,124.31648785752732,1231.0114451305528,338.84306269128757,38.611193332469796,713.3408880617153,19.564335723427416
4.0,8606.409075829508,7796.497815994487,130.27904754692503,1522.9089075355325,389.05647692253007,53.284241925950184,1128.2796504267283,23.628182159587194
4.0,8735.229354108595,15489.26980461756,186.92832455317554,3162.2548209853,339.9756091941225,39.41634949516947,702.158258475399,17.61732594637533
4.0,8831.621732350955,13712.126963861298,136.7257807964578,1417.2996567369128,310.98914441848694,22.962481864191542,315.8021857410021,12.905059684792219
4.0,9236.852984131263,10847.10803146928,149.32545800866254,2256.4254938753265,330.15817743368706,40.77412124910765,777.8926320275931,16.33161809366565
4.0,9253.877423759805,7878.314524380754,148.0713533270253,1750.538767639218,381.75595535525065,29.089351522154747,390.48103381932293,15.074911728835037
4.0,9541.748334276079,13207.688649393067,169.10865099848635,2120.5625910327676,317.37135621163463,29.29925277693944,440.24288864342134,16.26401972792537
4.0,9608.04170882753,9100.775759691855,175.51872815854634,3922.765174161072,378.01155720607295,40.071398389304115,645.5321797002111,12.896691495913839
4.0,9599.213712336294,10120.638317703224,180.47210652540554,4258.134456399226,386.80851772511636,33.19063707759429,421.91948062126073,10.649731190434458
4.0,9908.320081317685,5775.778028838301,142.46122001212498,2460.586998162407,488.6845714490583,34.44570197870608,428.5680068333966,11.812548644936824
4.0,10124.896054214632,15100.868654392518,177.29183081439578,1789.6863043645249,265.7063234597567,30.515837181071163,552.8015058003508,21.719685979898625
4.0,10609.449165741416,13982.64281443892,144.18268398274523,2555.745970118898,292.7744970230352,23.753675000961096,326.6248540613721,8.570485686740748
4.0,10966.921027111026,10506.173980094352,127.52263880836067,1823.5377983828062,411.5647664840947,41.279235794638915,653.3671692724457,14.973736416274752
4.0,11752.236393149125,6573.149990882347,193.62139728562062,2111.347942921887,461.7480469262985,32.15975182358535,380.2436088649093,23.04201088205655
4.0,11923.80892689585,16136.3358919499,155.95809575172657,2769.8779377263645,208.61112282839775,27.524245391667055,483.57370572066264,10.329550705796281
4.0,12275.097290558677,5823.701568062656,152.1456702340554,3880.3181512612505,459.32065271286206,28.21766710608077,278.9072423457718,7.435248583449029
4.0,12428.574621600083,12567.287229392417,123.34263062426261,1495.352884466099,392.5279866145171,57.38943278932981,1278.6347829901981,23.20634451680005
4.0,12551.407990458993,3728.70104391237,140.7860667492563,1806.7952963594144,405.8995140549979,40.07406202273633,653.8690113446261,17.77495231975215
4.0,12480.89964264082,13903.10898890819,148.19787607153157,2167.4418207262547,242.1422648979489,29.73318809791199,539.846834451717,12.59507836440895
4.0,12851.032976511091,4990.812574314672,164.93857750360985,1451.7997011500295,460.93951002884177,34.95448279239569,464.45791957178614,26.256479145179135
4.0,13060.309686730507,8147.688655781268,166.24772020124516,2172.1678069306645,339.3741909008867,25.58285882343814,308.80708382697105,13.669584679722158
4.0,13586.882169944025,8310.04075442415,114.39898278330375,1060.28697321754,332.87725517078434,43.919608448407196,920.4159897061792,21.723074232384718
4.0,13826.274946843514,3730.8694807515058,161.60763133346524,4099.760900877611,334.2869811473701,30.761816628445796,424.89833011309105,8.446678453541313
4.0,14311.498726008846,12424.486657774438,195.17086970341452,2449.1273241766207,259.7501964385581,30.274788199091287,561.4234536442747,19.185678475750066
4.0,14547.173487398692,7676.227148342242,160.016719009902,1494.2085254283306,346.2646936053098,33.12256476696935,501.1240786032482,22.891918019612252
4.0,14508.569596872438,10711.006594450559,123.72679606725954,1140.3978492129957,245.33330646773155,26.165607567531264,490.0623077375513,14.671382171075718
4.0,14749.875867757963,11694.427937506536,176.70483533483107,2247.416713971731,256.3789238717574,30.766693416057045,580.4039197180449,17.482873960306023
4.0,15206.83013418981,10273.321708156196,199.44394547308303,3289.4795979858363,219.28508641149105,28.010077706343676,482.6118834925144,14.095429657435256
4.0,15477.441548173989,8543.739142518378,140.67035856017804,1571.818303401661,285.6238545597361,21.457290943813657,276.08201145480695,11.695295375427547
4.0,15904.389080188888,7396.978267802823,171.7997798575762,2394.774261402386,319.887496977851,34.97639240697103,581.7235050181017,17.52684426818555
5.0,2493.1394437148015,11884.162444735863,167.78859922776408,3536.8861592924736,274.00559608630704,34.68836465841319,630.7974560455802,11.488683989518547
5.0,2783.2831695528894,13450.801408794357,153.0394248971805,1355.86399196529,342.95275404804886,30.176898029746443,475.797599442685,21.162833502834157
5.0,3190.912459515318,14879.802653288554,125.17239049491731,1233.2011165932586,308.52139835111274,22.398706868183407,267.79719781412916,12.223489571932673
5.0,4363.562828255119,8194.580380111012,130.33665486452938,2080.5956198954286,285.45897893216903,20.582082259155122,234.95155060187963,7.735836227872477
5.0,4719.398536114677,14590.076821711074,186.22831952832797,2295.8530201988024,436.7461583963768,44.585361623379164,734.0055533706799,26.815820284379836
5.0,4705.095753627813,15240.58715175715,128.0471023289957,3095.577698458488,481.2424388848761,61.84866104413391,1257.7208913639274,13.18600838766123
5.0,4963.452268107149,10625.968279005408,148.33363938938186,1319.4327206057637,340.75304411186386,42.155022140844004,849.7718268238032,28.00415724898386
5.0,5308.8973674782255,15490.305057222846,166.57869484337658,1850.0461352578777,422.54699410805375,49.103036705922655,908.5247455330071,29.21929259210919
5.0,5947.858250866305,7136.426236320843,182.18902009954004,4226.461568543883,347.4798774918005,33.75148945521331,520.8012861152246,11.074526146056101
5.0,5805.537200341087,11784.68943949397,174.1998138200203,2017.3838981394147,298.4997730945403,25.367982164833894,363.77174859709436,15.865219630717293
5.0,6580.969918190661,16346.747350421305,134.66841212965198,1481.0040753180758,398.75961754658124,49.40559560087001,1045.767003727903,24.099727621760213
5.0,8136.072499372059,10175.145828683857,135.99769796013553,1346.0523434799868,304.79008984294364,27.915180878591595,419.8630638763954,15.86641942518215
5.0,8708.719609337686,2643.143454860529,152.59370592114777,2914.1856972281284,283.21263511209145,37.42328783579616,740.8361900964791,12.333790369051178
5.0,8855.896873103044,13719.103908162251,140.58597257747115,2260.040157172936,312.5604385690762,26.7635265530029,382.73583690439085,10.060863888341045
5.0,9635.267268072459,9079.541015461004,169.62511895542744,3622.6629805882712,364.524789563804,37.50463788877882,580.6677336770448,12.284164633572422
5.0,9880.189630855408,5761.06247675258,148.59472839074553,2867.0800494171367,498.99154938702014,35.47468320766606,411.36131046493506,11.363898992928942
5.0,10156.175190080367,15127.376851805486,176.94321692240757,1720.8564698186628,271.2311385394639,25.82183364010373,387.81599267923525,19.289389576953077
5.0,10329.314541156764,9426.995321532371,157.18597707328067,1559.1700286315377,444.23106320403883,30.247366908739235,357.3114581865651,19.523763824281176
5.0,10549.96587246059,13958.86408880037,174.9974179075817,2748.24138020745,287.22983468440026,27.20742321144506,396.8840923798949,12.737995091746868
5.0,10954.661056388943,10510.500726784567,113.63893949949531,1213.2976819316975,400.83370263352793,44.23515621539111,801.346103833048,18.94135939846962
5.0,11130.080884247373,8393.44219743477,123.89261065484423,1206.3548759157613,391.1206793001387,25.848470624266962,299.075094667075,13.810148504180878
5.0,11133.073922964202,12446.078206379625,184.59368572288162,2936.65570874057,321.57607577583093,30.637687101612297,448.7031561171647,14.677727886469912
5.0,11205.841811704975,11157.633561798892,139.43300862225001,1784.292478169656,412.7729800685789,47.80079067413815,904.0256003558114,20.836817050199905
5.0,11845.577446900963,8485.317919787223,137.9745726859287,2422.527933910503,352.41591858443593,29.326824524927112,383.0043080838238,9.842490147809892
5.0,11903.141151131558,16121.824127546934,174.21058292287967,3640.8081632414824,206.1471437681251,30.554132336582196,637.3494535992666,10.746178891012493
5.0,12203.987610919836,5827.24444952316,194.3509399128112,4899.850554141931,422.96590313336316,34.07224143226602,416.0982925341141,10.971771308312892
5.0,12463.376011694074,13889.713136091397,148.32798377066138,1503.8214887252839,249.37221495855994,29.606483508771984,592.8133120734258,17.74423173692484
5.0,12815.80205061837,4890.786620211025,164.39731205475127,1449.7861922414586,448.50114711038094,25.07259001202643,242.89402049526365,19.227882797988883
5.0,13076.377220196151,8123.453609745881,158.13100217205562,1809.899796295751,344.65824884390173,23.077961579529177,263.6193662339007,13.514753220921625
5.0,13192.314551431258,6406.324180204071,117.18027629886558,1358.9258914881414,470.4105684081988,61.01883339933854,1297.8087696177274,24.454864241367364
5.0,13477.654074962153,13685.45692718454,137.59986923967992,1205.393790135892,253.4856918044403,35.04782299217204,857.2581978339701,22.1903837897826
5.0,13814.195804208915,3771.5071970508734,153.84852165326166,4119.774625569156,353.69933250808,29.388573815420614,408.2240963222781,7.421834799994298
5.0,14299.603056304102,12362.809670482455,130.88521308463814,1362.8913801718286,271.63056093142757,28.002195973665742,525.0857196569934,14.633174322652483
5.0,14695.979033529184,11669.916514640827,177.59319034668601,2400.061468531798,254.94757578744264,34.720702527434824,763.2004783715843,18.513127241233637
5.0,15146.86145351892,3591.359785255141,185.2062320711364,3209.4770097417704,267.9808267221379,26.882731941268908,427.3129858705066,12.126695763446492
5.0,15255.216591639799,10324.666603103813,194.43539494953527,3105.44591096895,224.23755446666942,30.094232551508505,540.3239932140223,15.11458479897518
